case_id,account_id,created_at,primary_trigger,evidence_signals,completeness_score,assigned_investigator_tier,escalated,status,ground_truth_label,ground_truth_required_tier,ground_truth_recommended_action
CASE000001,ACC000141,2025-04-29 21:49:35,reverse_smurfing,rapid_dispersal|structuring_fan_out,44,senior,True,escalated,fraud,senior,escalate
CASE000002,ACC000080,2025-03-06 19:01:07,money_mule,pass_through_velocity|unrelated_sender_concentration,49,senior,True,escalated,legitimate,junior,monitor
CASE000003,ACC000067,2025-07-08 17:18:52,account_swap,untrusted_device_high_value_txn,87,senior,True,block,fraud,senior,block
CASE000004,ACC000109,2025-04-13 19:49:36,smurfing,structuring_below_threshold,58,junior,False,open,legitimate,junior,clear
CASE000005,ACC000103,2025-05-06 13:45:29,account_swap,sim_swap_detected,91,senior,True,block,fraud,senior,block
CASE000006,ACC000053,2025-10-30 20:36:07,smurfing,high_velocity_fan_in|structuring_below_threshold,73,junior,False,monitor,legitimate,junior,monitor
CASE000007,ACC000008,2025-03-05 04:09:36,money_mule,pass_through_velocity|unrelated_sender_concentration,57,junior,False,open,fraud,junior,block
CASE000008,ACC000120,2025-09-27 19:38:40,money_mule,pass_through_velocity|unrelated_sender_concentration,87,junior,False,open,fraud,junior,block
CASE000009,ACC000001,2025-03-21 13:17:09,money_mule,pass_through_velocity|unrelated_sender_concentration,76,junior,False,open,legitimate,junior,clear
CASE000010,ACC000020,2025-08-05 19:34:27,smurfing,high_velocity_fan_in|structuring_below_threshold,77,junior,False,open,fraud,junior,escalate
CASE000011,ACC000010,2025-10-10 07:36:35,reverse_smurfing,rapid_dispersal|structuring_fan_out,67,senior,True,escalated,legitimate,senior,monitor
CASE000012,ACC000120,2025-05-06 11:37:28,smurfing,high_velocity_fan_in|structuring_below_threshold,67,senior,True,escalated,legitimate,senior,clear
CASE000013,ACC000101,2025-04-23 16:13:29,reverse_smurfing,rapid_dispersal|structuring_fan_out,51,senior,True,escalated,fraud,senior,escalate
CASE000014,ACC000002,2025-12-10 19:38:15,smurfing,high_velocity_fan_in|structuring_below_threshold,65,junior,False,open,legitimate,junior,clear
CASE000015,ACC000115,2025-05-08 15:58:57,account_swap,sim_swap_detected,88,senior,True,escalated,fraud,senior,block
CASE000016,ACC000183,2025-02-09 10:04:27,money_mule,unrelated_sender_concentration,69,senior,True,escalated,fraud,senior,block
CASE000017,ACC000006,2025-06-07 23:46:38,account_swap,untrusted_device_high_value_txn,90,senior,True,block,fraud,senior,block
CASE000018,ACC000160,2025-11-25 10:51:04,account_swap,geo_impossible_travel,78,junior,False,monitor,legitimate,junior,monitor
CASE000019,ACC000115,2025-05-28 23:01:52,smurfing,high_velocity_fan_in|structuring_below_threshold,82,junior,False,open,fraud,junior,block
CASE000020,ACC000095,2025-03-30 05:20:53,account_swap,geo_impossible_travel,61,senior,True,block,fraud,senior,block
CASE000021,ACC000152,2025-10-11 07:55:23,money_mule,pass_through_velocity|unrelated_sender_concentration,68,junior,False,open,fraud,junior,block
CASE000022,ACC000205,2025-07-06 10:08:38,reverse_smurfing,rapid_dispersal|structuring_fan_out,58,senior,True,escalated,fraud,senior,escalate
CASE000023,ACC000202,2025-12-11 19:13:01,account_swap,sim_swap_detected,70,senior,True,escalated,fraud,senior,block
CASE000024,ACC000061,2025-11-20 08:01:38,reverse_smurfing,rapid_dispersal|structuring_fan_out,66,junior,False,open,fraud,junior,block
CASE000025,ACC000176,2025-04-06 14:49:34,account_swap,sim_swap_detected,63,senior,True,escalated,fraud,senior,block
CASE000026,ACC000193,2025-11-09 02:08:02,behavioral_deviation,new_channel_used,64,junior,False,open,legitimate,junior,clear
CASE000027,ACC000131,2025-10-29 19:25:03,behavioral_deviation,off_hours_txn,63,junior,False,open,legitimate,junior,clear
CASE000028,ACC000061,2025-12-28 19:33:00,behavioral_deviation,new_channel_used,64,junior,False,open,legitimate,junior,clear
CASE000029,ACC000105,2025-05-10 07:56:40,behavioral_deviation,off_hours_txn,84,senior,True,escalated,fraud,senior,escalate
CASE000030,ACC000193,2025-09-21 18:45:24,behavioral_deviation,new_channel_used,73,junior,False,open,legitimate,junior,clear
CASE000031,ACC000041,2025-06-24 21:02:45,behavioral_deviation,amount_above_avg,72,junior,False,open,legitimate,junior,clear
CASE000032,ACC000132,2025-11-05 18:04:30,behavioral_deviation,new_channel_used,66,junior,False,open,legitimate,junior,clear
CASE000033,ACC000015,2025-03-29 12:49:23,behavioral_deviation,amount_above_avg,73,junior,False,open,legitimate,junior,clear
CASE000034,ACC000080,2025-11-24 13:14:48,behavioral_deviation,off_hours_txn,89,junior,False,open,legitimate,junior,clear
CASE000035,ACC000028,2025-06-26 07:48:02,behavioral_deviation,off_hours_txn,92,junior,False,open,legitimate,junior,clear
CASE000036,ACC000015,2025-03-03 01:50:32,behavioral_deviation,off_hours_txn,62,junior,False,open,legitimate,junior,clear
CASE000037,ACC000033,2025-07-03 01:05:09,behavioral_deviation,new_channel_used,60,junior,False,open,legitimate,junior,clear
CASE000038,ACC000033,2025-12-03 16:08:48,behavioral_deviation,new_channel_used,85,junior,False,open,legitimate,junior,clear
