device_id,account_id,device_type,os,device_fingerprint,first_seen_date,last_seen_date,is_trusted_device,sim_change_detected,jailbroken_rooted
DEV000001,ACC000001,Android Phone,Android 13,04bc0ab36d1e4f38,2025-07-29,2025-10-23,True,False,False
DEV000002,ACC000001,MacBook,macOS Sequoia,d889383b1d4642ca,2019-02-19,2023-07-03,True,False,False
DEV000003,ACC000002,Tablet,iPadOS 17,680c209086b14ef1,2016-07-09,2024-05-21,True,False,False
DEV000004,ACC000002,Android Phone,Android 13,d622c869fbfd468c,2022-04-11,2023-05-11,True,False,False
DEV000005,ACC000003,Tablet,iPadOS 17,4292ef1e93e7475c,2020-05-08,2020-09-26,True,False,False
DEV000006,ACC000004,Android Phone,Android 13,1d9ba5b8f57d4de9,2025-04-30,2025-05-23,True,False,False
DEV000007,ACC000004,MacBook,macOS Sequoia,1deaa5660b7546d7,2020-12-29,2023-06-09,True,False,False
DEV000008,ACC000005,iPhone,iOS 18,1f9e301685b04ce3,2025-10-01,2025-12-03,True,False,False
DEV000009,ACC000006,MacBook,macOS Sequoia,6801af0fc0f64271,2023-10-25,2025-06-02,True,False,False
DEV000010,ACC000006,Android Phone,Android 15,69de9121c5cb4f37,2025-05-11,2025-07-01,True,False,False
DEV000011,ACC000006,Windows Laptop,Windows 10,fa856316e8444c04,2025-08-11 04:33:47,2025-08-11 06:12:45,False,True,False
DEV000012,ACC000007,Android Phone,Android 14,2e445e7342f1445d,2021-05-25,2023-12-08,True,False,False
DEV000013,ACC000008,Tablet,Android 13,055abd6b3c694e42,2024-11-22,2025-05-19,True,False,False
DEV000014,ACC000008,MacBook,macOS Sequoia,c68c36ba70c94d2c,2024-10-27,2025-02-25,True,False,False
DEV000015,ACC000009,Android Phone,Android 15,1a51a00fc57e44fc,2016-07-01,2023-08-19,True,False,False
DEV000016,ACC000010,iPhone,iOS 17,3f1e77a75c634875,2022-02-08,2022-05-23,True,False,False
DEV000017,ACC000011,MacBook,macOS Sonoma,802e3fed7a2643b9,2024-10-30,2024-12-07,True,False,False
DEV000018,ACC000012,MacBook,macOS Sonoma,1e01b4ff90a04ca9,2021-05-01,2023-04-29,True,False,False
DEV000019,ACC000013,iPhone,iOS 17,62c068010dda42da,2025-01-26,2025-05-18,True,False,False
DEV000020,ACC000014,Tablet,iPadOS 17,e42082cc0f464028,2025-11-14,2025-12-22,True,False,False
DEV000021,ACC000014,iPhone,iOS 17,73ad3a1fac914480,2023-05-09,2023-12-18,True,False,False
DEV000022,ACC000015,Windows Laptop,Windows 10,75d58ea6b7724746,2024-10-21,2024-12-07,True,False,False
DEV000023,ACC000015,MacBook,macOS Sequoia,fd7279b12c434fee,2025-09-28,2025-10-03,True,False,False
DEV000024,ACC000016,Tablet,iPadOS 17,8024721530b543a6,2020-06-16,2023-12-31,True,False,False
DEV000025,ACC000016,iPhone,iOS 17,746603ed876c4c47,2020-04-18,2023-07-02,True,False,False
DEV000026,ACC000017,iPhone,iOS 17,197fbf12d40e43ca,2022-02-23,2023-06-05,True,False,False
DEV000027,ACC000017,MacBook,macOS Sequoia,bb626ea276444fdb,2020-09-20,2025-07-03,True,False,False
DEV000028,ACC000018,Tablet,Android 13,3be1950effaf4f69,2019-06-19,2022-10-07,True,False,False
DEV000029,ACC000018,Windows Laptop,Windows 10,aa6c6c2c75104a14,2020-08-22,2023-06-14,True,False,False
DEV000030,ACC000019,Windows Laptop,Windows 10,8dfa65f3f5bb4c76,2024-05-15,2025-07-05,True,False,False
DEV000031,ACC000019,Android Phone,Android 15,01e30243f06b4d7a,2024-09-29,2025-07-19,True,False,False
DEV000032,ACC000020,Android Phone,Android 15,c47bb2ff9e5d44ce,2023-06-25,2025-12-24,True,False,False
DEV000033,ACC000021,MacBook,macOS Sequoia,9cc70f0c7ed24943,2019-10-05,2022-08-05,True,False,False
DEV000034,ACC000022,iPhone,iOS 17,4a988703391b47f8,2024-01-25,2025-08-23,True,False,False
DEV000035,ACC000023,iPhone,iOS 17,28f30273c6a247b7,2025-04-16,2025-12-07,True,False,False
DEV000036,ACC000023,MacBook,macOS Sequoia,f4cb391158f14212,2023-05-08,2025-09-12,True,False,False
DEV000037,ACC000024,MacBook,macOS Sequoia,79c6a93c1c0348a3,2024-09-26,2025-11-15,True,False,False
DEV000038,ACC000024,Windows Laptop,Windows 11,c3759702d0314f04,2022-12-30,2024-07-11,True,False,False
