geo_event_id,account_id,timestamp,ip_address,city,country,latitude,longitude,is_vpn_or_proxy,distance_from_last_location_km,registered_country_match
GEO000001,ACC000001,2025-07-30 17:47:53,106.6.123.218,Lucknow,India,26.8467,80.9462,False,0.2,True
GEO000002,ACC000001,2025-08-19 17:32:16,131.125.90.177,Lucknow,India,26.8467,80.9462,False,14.0,True
GEO000003,ACC000001,2025-09-01 00:17:53,212.10.123.72,Lucknow,India,26.8467,80.9462,False,7.5,True
GEO000004,ACC000001,2025-09-04 01:35:38,192.159.106.142,Lucknow,India,26.8467,80.9462,False,8.4,True
GEO000005,ACC000002,2025-05-13 05:34:47,25.25.78.202,Hyderabad,India,17.385,78.4867,False,4.7,True
GEO000006,ACC000002,2025-05-24 01:27:56,149.206.32.71,Hyderabad,India,17.385,78.4867,False,22.5,True
GEO000007,ACC000002,2025-06-09 08:44:30,14.5.19.99,Hyderabad,India,17.385,78.4867,True,16.5,True
GEO000008,ACC000002,2025-06-23 07:09:59,132.46.150.56,Hyderabad,India,17.385,78.4867,False,16.4,True
GEO000009,ACC000003,2025-04-20 10:31:30,131.110.84.192,Kolkata,India,22.5726,88.3639,False,14.6,True
GEO000010,ACC000003,2025-05-10 08:07:58,83.114.10.135,Kolkata,India,22.5726,88.3639,False,8.6,True
GEO000011,ACC000003,2025-05-24 21:25:45,11.60.165.174,Kolkata,India,22.5726,88.3639,True,22.7,True
GEO000012,ACC000003,2025-06-07 15:48:04,194.231.26.135,Kolkata,India,22.5726,88.3639,False,21.1,True
GEO000013,ACC000004,2025-05-05 00:56:30,222.42.197.61,Mumbai,India,19.076,72.8777,False,18.1,True
GEO000014,ACC000004,2025-05-16 15:51:37,166.220.124.172,Mumbai,India,19.076,72.8777,False,23.7,True
GEO000015,ACC000004,2025-06-03 18:04:26,177.237.104.26,Mumbai,India,19.076,72.8777,False,5.6,True
GEO000016,ACC000005,2025-05-16 05:36:40,199.50.206.190,Kolkata,India,22.5726,88.3639,False,9.3,True
GEO000017,ACC000005,2025-05-28 08:37:53,48.239.246.76,Kolkata,India,22.5726,88.3639,True,21.3,True
GEO000018,ACC000005,2025-06-07 07:11:45,215.172.249.189,Kolkata,India,22.5726,88.3639,False,11.8,True
GEO000019,ACC000006,2025-07-31 20:21:58,42.4.161.102,Mumbai,India,19.076,72.8777,True,13.2,True
GEO000020,ACC000006,2025-08-09 16:44:35,119.132.194.242,Mumbai,India,19.076,72.8777,False,3.4,True
GEO000021,ACC000006,2025-08-11 05:28:45,146.112.79.121,Singapore,Singapore,1.3521,103.8198,False,8303.5,False
GEO000022,ACC000007,2025-03-15 00:11:50,222.135.108.180,Pune,India,18.5204,73.8567,False,19.5,True
GEO000023,ACC000007,2025-03-25 06:32:03,48.238.118.132,Pune,India,18.5204,73.8567,False,7.8,True
GEO000024,ACC000007,2025-03-27 08:59:18,205.149.34.61,Pune,India,18.5204,73.8567,True,6.8,True
GEO000025,ACC000007,2025-04-11 20:05:33,142.99.71.41,Pune,India,18.5204,73.8567,False,14.4,True
GEO000026,ACC000007,2025-04-15 20:20:20,216.128.15.171,Pune,India,18.5204,73.8567,False,3.2,True
GEO000027,ACC000008,2025-06-25 22:01:27,74.158.122.154,Kolkata,India,22.5726,88.3639,True,9.6,True
GEO000028,ACC000008,2025-06-27 15:13:37,185.60.76.71,Kolkata,India,22.5726,88.3639,False,18.3,True
GEO000029,ACC000008,2025-07-16 16:27:29,147.118.58.225,Kolkata,India,22.5726,88.3639,False,18.9,True
GEO000030,ACC000008,2025-07-27 18:36:34,216.182.61.164,Kolkata,India,22.5726,88.3639,False,16.9,True
GEO000031,ACC000008,2025-08-09 16:22:44,207.128.135.184,Kolkata,India,22.5726,88.3639,False,5.7,True
GEO000032,ACC000009,2025-05-05 03:44:43,59.166.91.143,Delhi,India,28.7041,77.1025,False,4.2,True
GEO000033,ACC000009,2025-05-21 19:25:05,216.3.3.141,Delhi,India,28.7041,77.1025,False,23.7,True
GEO000034,ACC000009,2025-05-31 11:19:14,65.83.228.191,Delhi,India,28.7041,77.1025,False,10.8,True
GEO000035,ACC000009,2025-06-14 12:29:32,193.20.153.62,Delhi,India,28.7041,77.1025,False,8.6,True
GEO000036,ACC000010,2025-05-24 15:38:51,123.137.175.145,Chennai,India,13.0827,80.2707,True,0.5,True
GEO000037,ACC000010,2025-05-29 21:56:17,155.229.138.32,Chennai,India,13.0827,80.2707,False,5.3,True
GEO000038,ACC000010,2025-05-31 07:55:50,193.46.183.83,Chennai,India,13.0827,80.2707,False,3.1,True
GEO000039,ACC000010,2025-06-14 20:11:48,149.84.236.191,Chennai,India,13.0827,80.2707,False,9.4,True
GEO000040,ACC000010,2025-06-28 00:10:59,181.37.122.42,Chennai,India,13.0827,80.2707,False,14.8,True
GEO000041,ACC000011,2025-02-13 21:41:07,159.181.195.181,Bengaluru,India,12.9716,77.5946,False,10.4,True
GEO000042,ACC000011,2025-02-22 03:04:52,188.208.129.60,Bengaluru,India,12.9716,77.5946,False,11.9,True
GEO000043,ACC000012,2025-03-28 12:39:37,210.209.98.196,Bengaluru,India,12.9716,77.5946,False,16.6,True
GEO000044,ACC000012,2025-04-03 15:46:12,135.107.66.108,Bengaluru,India,12.9716,77.5946,False,10.5,True
GEO000045,ACC000012,2025-04-21 17:32:30,160.4.182.250,Bengaluru,India,12.9716,77.5946,False,7.1,True
GEO000046,ACC000013,2025-07-25 20:58:08,192.157.145.5,Chennai,India,13.0827,80.2707,False,20.8,True
GEO000047,ACC000013,2025-08-14 08:42:41,151.39.100.159,Chennai,India,13.0827,80.2707,False,17.6,True
GEO000048,ACC000014,2025-03-15 16:44:29,195.196.166.98,Bengaluru,India,12.9716,77.5946,False,17.2,True
GEO000049,ACC000014,2025-03-25 19:55:27,72.98.133.77,Bengaluru,India,12.9716,77.5946,False,0.1,True
GEO000050,ACC000014,2025-04-08 14:11:20,159.5.132.163,Bengaluru,India,12.9716,77.5946,False,20.9,True
GEO000051,ACC000014,2025-04-22 07:15:46,79.80.166.79,Bengaluru,India,12.9716,77.5946,False,23.7,True
GEO000052,ACC000015,2025-02-22 13:54:47,208.112.5.110,Hyderabad,India,17.385,78.4867,True,24.7,True
GEO000053,ACC000015,2025-03-01 04:53:57,215.48.191.108,Hyderabad,India,17.385,78.4867,True,1.3,True
GEO000054,ACC000016,2025-01-24 03:54:26,120.240.146.23,Hyderabad,India,17.385,78.4867,False,10.6,True
GEO000055,ACC000016,2025-01-27 08:45:29,193.255.43.18,Hyderabad,India,17.385,78.4867,False,0.2,True
GEO000056,ACC000016,2025-01-30 23:51:57,216.191.229.144,Hyderabad,India,17.385,78.4867,False,8.2,True
GEO000057,ACC000017,2025-09-17 04:14:46,167.142.54.84,Hyderabad,India,17.385,78.4867,False,9.3,True
GEO000058,ACC000017,2025-09-24 16:31:40,121.40.58.12,Hyderabad,India,17.385,78.4867,False,10.0,True
GEO000059,ACC000017,2025-10-13 23:20:28,136.188.141.124,Hyderabad,India,17.385,78.4867,False,20.9,True
GEO000060,ACC000017,2025-10-28 01:56:11,110.163.154.170,Hyderabad,India,17.385,78.4867,True,20.0,True
GEO000061,ACC000017,2025-11-10 09:48:38,169.162.50.182,Hyderabad,India,17.385,78.4867,False,2.8,True
GEO000062,ACC000018,2025-03-12 19:22:53,108.198.226.127,Mumbai,India,19.076,72.8777,True,20.1,True
GEO000063,ACC000018,2025-03-26 16:43:43,207.234.200.142,Mumbai,India,19.076,72.8777,False,15.3,True
GEO000064,ACC000019,2025-09-12 19:36:28,119.191.220.193,Bengaluru,India,12.9716,77.5946,False,12.1,True
GEO000065,ACC000019,2025-09-23 02:11:30,152.36.53.165,Bengaluru,India,12.9716,77.5946,True,11.0,True
GEO000066,ACC000019,2025-09-25 07:04:23,169.152.37.194,Bengaluru,India,12.9716,77.5946,False,0.3,True
GEO000067,ACC000019,2025-10-12 19:01:57,220.65.76.21,Bengaluru,India,12.9716,77.5946,False,24.4,True
GEO000068,ACC000020,2025-08-04 16:11:51,29.37.17.210,Jaipur,India,26.9124,75.7873,False,10.8,True
GEO000069,ACC000020,2025-08-19 11:33:03,111.145.79.138,Jaipur,India,26.9124,75.7873,True,8.6,True
GEO000070,ACC000020,2025-09-02 07:56:30,197.134.97.117,Jaipur,India,26.9124,75.7873,True,3.7,True
GEO000071,ACC000020,2025-09-19 00:47:50,172.166.240.95,Jaipur,India,26.9124,75.7873,False,0.3,True
GEO000072,ACC000021,2025-08-02 12:41:03,174.129.70.179,Ahmedabad,India,23.0225,72.5714,False,1.9,True
GEO000073,ACC000021,2025-08-12 20:52:32,199.169.251.53,Ahmedabad,India,23.0225,72.5714,False,8.3,True
GEO000074,ACC000021,2025-08-19 03:42:55,30.22.253.13,Ahmedabad,India,23.0225,72.5714,False,13.8,True
GEO000075,ACC000022,2025-06-09 02:45:38,61.62.79.69,Chennai,India,13.0827,80.2707,True,20.0,True
GEO000076,ACC000022,2025-06-18 15:05:36,58.61.22.243,Chennai,India,13.0827,80.2707,True,11.2,True
GEO000077,ACC000022,2025-06-21 21:13:26,198.147.39.241,Chennai,India,13.0827,80.2707,True,18.6,True
GEO000078,ACC000022,2025-06-23 05:19:35,164.61.136.135,Chennai,India,13.0827,80.2707,True,10.3,True
