alert_id,account_id,transaction_id,alert_type,triggering_rule,alert_score,created_at,linked_case_id
ALRT000001,ACC000141,TXN001507,reverse_smurfing,structuring_fan_out,62,2025-08-13 15:22:25,CASE000001
ALRT000002,ACC000141,TXN001508,reverse_smurfing,structuring_fan_out,62,2025-08-13 17:07:08,CASE000001
ALRT000003,ACC000141,TXN001509,reverse_smurfing,structuring_fan_out,74,2025-08-13 18:36:10,CASE000001
ALRT000004,ACC000141,TXN001510,reverse_smurfing,rapid_dispersal,81,2025-08-13 20:01:25,CASE000001
ALRT000005,ACC000141,TXN001511,reverse_smurfing,rapid_dispersal,71,2025-08-13 20:50:25,CASE000001
ALRT000006,ACC000141,TXN001512,reverse_smurfing,structuring_fan_out,62,2025-08-13 23:22:51,CASE000001
ALRT000007,ACC000080,TXN001567,money_mule,unrelated_sender_concentration,62,2025-03-13 08:31:44,CASE000002
ALRT000008,ACC000080,TXN001568,money_mule,pass_through_velocity,73,2025-03-13 08:08:44,CASE000002
ALRT000009,ACC000080,TXN001569,money_mule,pass_through_velocity,69,2025-03-13 08:35:44,CASE000002
ALRT000010,ACC000080,TXN001570,money_mule,unrelated_sender_concentration,67,2025-03-13 07:07:44,CASE000002
ALRT000011,ACC000080,TXN001571,money_mule,pass_through_velocity,87,2025-03-13 13:54:09,CASE000002
ALRT000012,ACC000067,TXN001592,account_swap,geo_impossible_travel,75,2025-03-17 18:56:41,CASE000003
ALRT000013,ACC000109,TXN001465,smurfing,high_velocity_fan_in,62,2025-06-13 17:12:28,CASE000004
ALRT000014,ACC000109,TXN001466,smurfing,high_velocity_fan_in,74,2025-06-13 19:23:28,CASE000004
ALRT000015,ACC000109,TXN001467,smurfing,structuring_below_threshold,58,2025-06-13 15:22:28,CASE000004
ALRT000016,ACC000109,TXN001468,smurfing,high_velocity_fan_in,81,2025-06-13 14:46:28,CASE000004
ALRT000017,ACC000109,TXN001469,smurfing,structuring_below_threshold,73,2025-06-13 20:13:28,CASE000004
ALRT000018,ACC000109,TXN001470,smurfing,structuring_below_threshold,67,2025-06-13 17:43:28,CASE000004
ALRT000019,ACC000103,TXN001594,account_swap,sim_swap_detected,87,2025-05-25 10:06:04,CASE000005
ALRT000020,ACC000053,TXN001421,smurfing,structuring_below_threshold,73,2025-05-18 06:10:49,CASE000006
ALRT000021,ACC000053,TXN001422,smurfing,structuring_below_threshold,71,2025-05-18 07:40:49,CASE000006
ALRT000022,ACC000053,TXN001423,smurfing,structuring_below_threshold,64,2025-05-18 13:11:49,CASE000006
ALRT000023,ACC000053,TXN001424,smurfing,high_velocity_fan_in,60,2025-05-18 08:39:49,CASE000006
ALRT000024,ACC000053,TXN001425,smurfing,structuring_below_threshold,59,2025-05-18 10:09:49,CASE000006
ALRT000025,ACC000053,TXN001426,smurfing,structuring_below_threshold,68,2025-05-18 10:47:49,CASE000006
ALRT000026,ACC000008,TXN001555,money_mule,pass_through_velocity,85,2025-07-22 17:37:22,CASE000007
ALRT000027,ACC000008,TXN001556,money_mule,pass_through_velocity,71,2025-07-22 18:38:22,CASE000007
ALRT000028,ACC000008,TXN001557,money_mule,unrelated_sender_concentration,74,2025-07-22 16:44:22,CASE000007
ALRT000029,ACC000008,TXN001558,money_mule,pass_through_velocity,80,2025-07-22 18:22:22,CASE000007
ALRT000030,ACC000008,TXN001559,money_mule,unrelated_sender_concentration,57,2025-07-22 18:55:22,CASE000007
ALRT000031,ACC000008,TXN001560,money_mule,pass_through_velocity,65,2025-07-22 17:51:22,CASE000007
ALRT000032,ACC000120,TXN001578,money_mule,pass_through_velocity,75,2025-09-24 23:52:52,CASE000008
ALRT000033,ACC000120,TXN001579,money_mule,unrelated_sender_concentration,77,2025-09-25 00:47:52,CASE000008
ALRT000034,ACC000120,TXN001580,money_mule,unrelated_sender_concentration,77,2025-09-25 01:05:52,CASE000008
ALRT000035,ACC000120,TXN001581,money_mule,unrelated_sender_concentration,57,2025-09-24 23:41:52,CASE000008
ALRT000036,ACC000120,TXN001582,money_mule,unrelated_sender_concentration,66,2025-09-25 01:26:16,CASE000008
ALRT000037,ACC000001,TXN001572,money_mule,unrelated_sender_concentration,73,2025-02-24 07:19:10,CASE000009
ALRT000038,ACC000001,TXN001573,money_mule,pass_through_velocity,72,2025-02-24 09:17:10,CASE000009
ALRT000039,ACC000001,TXN001574,money_mule,pass_through_velocity,74,2025-02-24 08:29:10,CASE000009
ALRT000040,ACC000001,TXN001575,money_mule,unrelated_sender_concentration,78,2025-02-24 09:26:10,CASE000009
ALRT000041,ACC000001,TXN001576,money_mule,pass_through_velocity,69,2025-02-24 08:24:10,CASE000009
ALRT000042,ACC000001,TXN001577,money_mule,pass_through_velocity,67,2025-02-24 09:13:52,CASE000009
ALRT000043,ACC000020,TXN001432,smurfing,high_velocity_fan_in,70,2025-05-14 20:53:25,CASE000010
ALRT000044,ACC000020,TXN001433,smurfing,high_velocity_fan_in,69,2025-05-14 16:45:25,CASE000010
ALRT000045,ACC000020,TXN001434,smurfing,high_velocity_fan_in,83,2025-05-14 21:33:25,CASE000010
ALRT000046,ACC000020,TXN001435,smurfing,high_velocity_fan_in,67,2025-05-14 17:58:25,CASE000010
ALRT000047,ACC000020,TXN001436,smurfing,high_velocity_fan_in,60,2025-05-14 14:46:25,CASE000010
ALRT000048,ACC000020,TXN001437,smurfing,structuring_below_threshold,74,2025-05-14 22:48:25,CASE000010
ALRT000049,ACC000010,TXN001475,reverse_smurfing,structuring_fan_out,76,2025-10-14 05:34:41,CASE000011
ALRT000050,ACC000010,TXN001476,reverse_smurfing,rapid_dispersal,75,2025-10-14 07:24:07,CASE000011
ALRT000051,ACC000010,TXN001477,reverse_smurfing,rapid_dispersal,73,2025-10-14 10:07:04,CASE000011
ALRT000052,ACC000010,TXN001478,reverse_smurfing,rapid_dispersal,70,2025-10-14 12:06:08,CASE000011
ALRT000053,ACC000010,TXN001479,reverse_smurfing,structuring_fan_out,66,2025-10-14 13:06:27,CASE000011
ALRT000054,ACC000010,TXN001480,reverse_smurfing,structuring_fan_out,76,2025-10-14 14:24:20,CASE000011
ALRT000055,ACC000120,TXN001412,smurfing,structuring_below_threshold,77,2025-03-26 19:34:18,CASE000012
ALRT000056,ACC000120,TXN001413,smurfing,high_velocity_fan_in,75,2025-03-26 22:29:18,CASE000012
ALRT000057,ACC000120,TXN001414,smurfing,structuring_below_threshold,68,2025-03-26 18:39:18,CASE000012
ALRT000058,ACC000120,TXN001415,smurfing,structuring_below_threshold,80,2025-03-26 17:05:18,CASE000012
ALRT000059,ACC000120,TXN001416,smurfing,structuring_below_threshold,59,2025-03-26 14:30:18,CASE000012
ALRT000060,ACC000120,TXN001417,smurfing,structuring_below_threshold,62,2025-03-26 15:04:18,CASE000012
ALRT000061,ACC000101,TXN001523,reverse_smurfing,rapid_dispersal,80,2025-03-03 06:38:07,CASE000013
ALRT000062,ACC000101,TXN001524,reverse_smurfing,rapid_dispersal,60,2025-03-03 09:09:48,CASE000013
ALRT000063,ACC000101,TXN001525,reverse_smurfing,rapid_dispersal,80,2025-03-03 11:08:04,CASE000013
ALRT000064,ACC000101,TXN001526,reverse_smurfing,rapid_dispersal,80,2025-03-03 12:51:18,CASE000013
ALRT000065,ACC000101,TXN001527,reverse_smurfing,rapid_dispersal,66,2025-03-03 14:30:03,CASE000013
ALRT000066,ACC000101,TXN001528,reverse_smurfing,rapid_dispersal,67,2025-03-03 17:09:34,CASE000013
ALRT000067,ACC000002,TXN001454,smurfing,structuring_below_threshold,67,2025-08-16 18:16:36,CASE000014
ALRT000068,ACC000002,TXN001455,smurfing,high_velocity_fan_in,80,2025-08-16 22:45:36,CASE000014
ALRT000069,ACC000002,TXN001456,smurfing,high_velocity_fan_in,73,2025-08-17 00:05:36,CASE000014
ALRT000070,ACC000002,TXN001457,smurfing,structuring_below_threshold,70,2025-08-16 20:14:36,CASE000014
ALRT000071,ACC000002,TXN001458,smurfing,structuring_below_threshold,57,2025-08-16 18:58:36,CASE000014
ALRT000072,ACC000002,TXN001459,smurfing,high_velocity_fan_in,64,2025-08-17 00:39:36,CASE000014
ALRT000073,ACC000115,TXN001595,account_swap,sim_swap_detected,75,2025-05-02 10:06:10,CASE000015
ALRT000074,ACC000183,TXN001583,money_mule,pass_through_velocity,87,2025-09-20 21:30:26,CASE000016
ALRT000075,ACC000183,TXN001584,money_mule,pass_through_velocity,71,2025-09-20 20:09:26,CASE000016
ALRT000076,ACC000183,TXN001585,money_mule,pass_through_velocity,73,2025-09-20 19:00:26,CASE000016
ALRT000077,ACC000183,TXN001586,money_mule,unrelated_sender_concentration,66,2025-09-20 20:40:26,CASE000016
ALRT000078,ACC000183,TXN001587,money_mule,unrelated_sender_concentration,67,2025-09-20 20:50:26,CASE000016
ALRT000079,ACC000183,TXN001588,money_mule,pass_through_velocity,69,2025-09-20 21:21:26,CASE000016
ALRT000080,ACC000006,TXN001591,account_swap,untrusted_device_high_value_txn,87,2025-08-11 06:12:45,CASE000017
ALRT000081,ACC000160,TXN001596,account_swap,untrusted_device_high_value_txn,74,2025-09-10 18:03:30,CASE000018
ALRT000082,ACC000115,TXN001444,smurfing,structuring_below_threshold,67,2025-04-30 15:39:39,CASE000019
ALRT000083,ACC000115,TXN001445,smurfing,high_velocity_fan_in,65,2025-04-30 13:52:39,CASE000019
