case_id,account_id,created_at,primary_trigger,evidence_signals,completeness_score,status,ground_truth_label,ground_truth_required_tier,ground_truth_recommended_action
CASE000001,ACC000141,2025-08-13 23:22:51,reverse_smurfing,rapid_dispersal|structuring_fan_out,68,monitor,fraud,junior,monitor
CASE000002,ACC000080,2025-03-13 13:54:09,money_mule,pass_through_velocity|unrelated_sender_concentration,61,open,fraud,junior,block
CASE000003,ACC000067,2025-03-17 18:56:41,account_swap,geo_impossible_travel,86,block,fraud,senior,block
CASE000004,ACC000109,2025-06-13 20:13:28,smurfing,high_velocity_fan_in|structuring_below_threshold,70,open,fraud,junior,escalate
CASE000005,ACC000103,2025-05-25 10:06:04,account_swap,sim_swap_detected,79,block,fraud,senior,block
CASE000006,ACC000053,2025-05-18 13:11:49,smurfing,high_velocity_fan_in|structuring_below_threshold,71,open,fraud,junior,block
CASE000007,ACC000008,2025-07-22 18:55:22,money_mule,pass_through_velocity|unrelated_sender_concentration,72,block,fraud,senior,block
CASE000008,ACC000120,2025-09-25 01:26:16,money_mule,pass_through_velocity|unrelated_sender_concentration,70,open,legitimate,junior,clear
CASE000009,ACC000001,2025-02-24 09:26:10,money_mule,pass_through_velocity|unrelated_sender_concentration,86,open,fraud,junior,block
CASE000010,ACC000020,2025-05-14 22:48:25,smurfing,high_velocity_fan_in|structuring_below_threshold,60,escalated,fraud,senior,block
CASE000011,ACC000010,2025-10-14 14:24:20,reverse_smurfing,rapid_dispersal|structuring_fan_out,36,block,fraud,senior,block
CASE000012,ACC000120,2025-03-26 22:29:18,smurfing,high_velocity_fan_in|structuring_below_threshold,69,open,fraud,junior,escalate
CASE000013,ACC000101,2025-03-03 17:09:34,reverse_smurfing,rapid_dispersal,67,escalated,fraud,senior,monitor
CASE000014,ACC000002,2025-08-17 00:39:36,smurfing,high_velocity_fan_in|structuring_below_threshold,71,open,fraud,junior,block
CASE000015,ACC000115,2025-05-02 10:06:10,account_swap,sim_swap_detected,86,open,legitimate,junior,clear
CASE000016,ACC000183,2025-09-20 21:30:26,money_mule,pass_through_velocity|unrelated_sender_concentration,66,escalated,legitimate,senior,monitor
CASE000017,ACC000006,2025-08-11 06:12:45,account_swap,untrusted_device_high_value_txn,83,block,fraud,senior,block
CASE000018,ACC000160,2025-09-10 18:03:30,account_swap,untrusted_device_high_value_txn,95,block,fraud,senior,block
CASE000019,ACC000115,2025-04-30 20:13:39,smurfing,high_velocity_fan_in|structuring_below_threshold,71,escalated,fraud,senior,escalate
CASE000020,ACC000095,2025-08-10 10:24:58,account_swap,sim_swap_detected,80,monitor,legitimate,junior,monitor
CASE000021,ACC000152,2025-03-17 07:41:02,money_mule,unrelated_sender_concentration,66,escalated,fraud,senior,block
CASE000022,ACC000205,2025-09-16 23:11:41,reverse_smurfing,rapid_dispersal|structuring_fan_out,74,open,legitimate,junior,clear
CASE000023,ACC000202,2025-03-02 20:26:08,account_swap,untrusted_device_high_value_txn,91,escalated,fraud,senior,block
CASE000024,ACC000061,2025-10-26 12:24:24,reverse_smurfing,rapid_dispersal|structuring_fan_out,46,escalated,fraud,senior,escalate
CASE000025,ACC000176,2025-05-11 12:44:06,account_swap,sim_swap_detected,87,open,legitimate,junior,clear
CASE000026,ACC000055,2025-06-22 09:22:53,behavioral_deviation,amount_above_avg,77,open,legitimate,junior,clear
CASE000027,ACC000058,2025-06-14 20:45:33,behavioral_deviation,new_channel_used,85,open,legitimate,junior,clear
CASE000028,ACC000147,2025-10-20 19:43:18,behavioral_deviation,off_hours_txn,88,open,legitimate,junior,clear
CASE000029,ACC000035,2025-05-14 16:45:25,behavioral_deviation,off_hours_txn,72,open,legitimate,junior,clear
CASE000030,ACC000048,2025-05-14 20:53:25,behavioral_deviation,amount_above_avg,74,open,legitimate,junior,clear
CASE000031,ACC000107,2025-07-29 11:11:55,behavioral_deviation,new_channel_used,93,open,legitimate,junior,clear
CASE000032,ACC000179,2025-02-01 22:13:22,behavioral_deviation,new_channel_used,60,open,legitimate,junior,clear
CASE000033,ACC000116,2025-10-01 18:38:13,behavioral_deviation,amount_above_avg,68,monitor,fraud,junior,monitor
CASE000034,ACC000092,2025-08-24 01:23:38,behavioral_deviation,off_hours_txn,61,open,legitimate,junior,clear
CASE000035,ACC000015,2025-08-01 21:54:07,behavioral_deviation,new_channel_used,63,escalated,fraud,senior,escalate
CASE000036,ACC000059,2025-02-25 04:18:30,behavioral_deviation,amount_above_avg,68,open,legitimate,junior,clear
CASE000037,ACC000195,2025-08-03 13:54:16,behavioral_deviation,off_hours_txn,76,open,legitimate,junior,clear
CASE000038,ACC000028,2025-08-09 14:02:03,behavioral_deviation,new_channel_used,94,open,legitimate,junior,clear
