alert_id,account_id,transaction_id,alert_type,triggering_rule,alert_score,created_at,linked_case_id
ALRT000001,ACC000141,TXN001507,reverse_smurfing,structuring_fan_out,62,2025-11-24 06:38:23,CASE000001
ALRT000002,ACC000141,TXN001508,reverse_smurfing,structuring_fan_out,62,2025-10-14 05:09:56,CASE000001
ALRT000003,ACC000141,TXN001509,reverse_smurfing,structuring_fan_out,74,2025-12-06 16:20:09,CASE000001
ALRT000004,ACC000141,TXN001510,reverse_smurfing,rapid_dispersal,81,2025-09-21 22:23:23,CASE000001
ALRT000005,ACC000141,TXN001511,reverse_smurfing,rapid_dispersal,71,2025-04-12 09:40:52,CASE000001
ALRT000006,ACC000141,TXN001512,reverse_smurfing,structuring_fan_out,57,2025-06-06 02:44:05,CASE000001
ALRT000007,ACC000080,TXN001567,money_mule,pass_through_velocity,69,2025-09-23 23:56:55,CASE000002
ALRT000008,ACC000080,TXN001568,money_mule,unrelated_sender_concentration,67,2025-04-13 09:20:09,CASE000002
ALRT000009,ACC000080,TXN001569,money_mule,pass_through_velocity,79,2025-04-03 08:01:46,CASE000002
ALRT000010,ACC000080,TXN001570,money_mule,pass_through_velocity,80,2025-05-26 18:10:25,CASE000002
ALRT000011,ACC000080,TXN001571,money_mule,pass_through_velocity,84,2025-03-26 22:01:54,CASE000002
ALRT000012,ACC000067,TXN001592,account_swap,untrusted_device_high_value_txn,94,2025-04-10 16:12:26,CASE000003
ALRT000013,ACC000109,TXN001465,smurfing,structuring_below_threshold,70,2025-12-21 23:25:37,CASE000004
ALRT000014,ACC000109,TXN001466,smurfing,structuring_below_threshold,67,2025-04-27 22:34:46,CASE000004
ALRT000015,ACC000109,TXN001467,smurfing,structuring_below_threshold,66,2025-11-19 20:42:49,CASE000004
ALRT000016,ACC000109,TXN001468,smurfing,structuring_below_threshold,61,2025-03-20 00:49:37,CASE000004
ALRT000017,ACC000109,TXN001469,smurfing,structuring_below_threshold,73,2025-04-02 22:20:03,CASE000004
ALRT000018,ACC000109,TXN001470,smurfing,structuring_below_threshold,64,2025-08-26 11:13:58,CASE000004
ALRT000019,ACC000103,TXN001594,account_swap,sim_swap_detected,76,2025-07-13 07:55:11,CASE000005
ALRT000020,ACC000053,TXN001421,smurfing,structuring_below_threshold,70,2025-09-23 15:30:30,CASE000006
ALRT000021,ACC000053,TXN001422,smurfing,high_velocity_fan_in,62,2025-09-23 10:55:05,CASE000006
ALRT000022,ACC000053,TXN001423,smurfing,structuring_below_threshold,55,2025-02-23 13:51:21,CASE000006
ALRT000023,ACC000053,TXN001424,smurfing,structuring_below_threshold,60,2025-11-03 05:52:19,CASE000006
ALRT000024,ACC000053,TXN001425,smurfing,high_velocity_fan_in,73,2025-03-11 14:56:28,CASE000006
ALRT000025,ACC000053,TXN001426,smurfing,high_velocity_fan_in,64,2025-04-13 12:55:23,CASE000006
ALRT000026,ACC000008,TXN001555,money_mule,unrelated_sender_concentration,57,2025-08-19 15:58:16,CASE000007
ALRT000027,ACC000008,TXN001556,money_mule,unrelated_sender_concentration,66,2025-09-21 21:37:43,CASE000007
ALRT000028,ACC000008,TXN001557,money_mule,unrelated_sender_concentration,55,2025-11-10 09:00:29,CASE000007
ALRT000029,ACC000008,TXN001558,money_mule,unrelated_sender_concentration,73,2025-09-30 10:11:21,CASE000007
ALRT000030,ACC000008,TXN001559,money_mule,pass_through_velocity,72,2025-02-01 04:23:06,CASE000007
ALRT000031,ACC000008,TXN001560,money_mule,unrelated_sender_concentration,80,2025-11-30 18:44:05,CASE000007
ALRT000032,ACC000120,TXN001578,money_mule,unrelated_sender_concentration,75,2025-10-02 16:57:12,CASE000008
ALRT000033,ACC000120,TXN001579,money_mule,unrelated_sender_concentration,69,2025-12-01 15:16:35,CASE000008
ALRT000034,ACC000120,TXN001580,money_mule,pass_through_velocity,74,2025-06-09 17:46:55,CASE000008
ALRT000035,ACC000120,TXN001581,money_mule,unrelated_sender_concentration,64,2025-07-22 07:16:36,CASE000008
ALRT000036,ACC000120,TXN001582,money_mule,unrelated_sender_concentration,62,2025-07-23 09:48:03,CASE000008
ALRT000037,ACC000001,TXN001572,money_mule,unrelated_sender_concentration,79,2025-06-17 23:48:36,CASE000009
ALRT000038,ACC000001,TXN001573,money_mule,pass_through_velocity,86,2025-09-27 13:29:36,CASE000009
ALRT000039,ACC000001,TXN001574,money_mule,pass_through_velocity,67,2025-10-19 05:35:54,CASE000009
ALRT000040,ACC000001,TXN001575,money_mule,unrelated_sender_concentration,70,2025-07-17 04:23:36,CASE000009
ALRT000041,ACC000001,TXN001576,money_mule,unrelated_sender_concentration,77,2025-07-17 05:21:09,CASE000009
ALRT000042,ACC000001,TXN001577,money_mule,unrelated_sender_concentration,56,2025-06-14 19:54:45,CASE000009
ALRT000043,ACC000020,TXN001432,smurfing,structuring_below_threshold,80,2025-09-12 12:02:10,CASE000010
ALRT000044,ACC000020,TXN001433,smurfing,structuring_below_threshold,72,2025-03-06 14:36:58,CASE000010
ALRT000045,ACC000020,TXN001434,smurfing,high_velocity_fan_in,75,2025-09-01 14:30:37,CASE000010
ALRT000046,ACC000020,TXN001435,smurfing,structuring_below_threshold,68,2025-10-16 03:58:22,CASE000010
ALRT000047,ACC000020,TXN001436,smurfing,structuring_below_threshold,80,2025-11-08 03:34:26,CASE000010
ALRT000048,ACC000020,TXN001437,smurfing,structuring_below_threshold,59,2025-03-24 06:45:09,CASE000010
ALRT000049,ACC000010,TXN001475,reverse_smurfing,rapid_dispersal,60,2025-07-01 01:20:28,CASE000011
ALRT000050,ACC000010,TXN001476,reverse_smurfing,rapid_dispersal,80,2025-07-17 01:18:57,CASE000011
ALRT000051,ACC000010,TXN001477,reverse_smurfing,structuring_fan_out,65,2025-05-07 13:34:48,CASE000011
ALRT000052,ACC000010,TXN001478,reverse_smurfing,structuring_fan_out,59,2025-04-19 01:25:54,CASE000011
ALRT000053,ACC000010,TXN001479,reverse_smurfing,rapid_dispersal,63,2025-08-29 09:15:08,CASE000011
ALRT000054,ACC000010,TXN001480,reverse_smurfing,rapid_dispersal,78,2025-04-02 07:36:58,CASE000011
ALRT000055,ACC000120,TXN001412,smurfing,high_velocity_fan_in,67,2025-08-13 09:30:42,CASE000012
ALRT000056,ACC000120,TXN001413,smurfing,structuring_below_threshold,57,2025-05-23 02:20:15,CASE000012
ALRT000057,ACC000120,TXN001414,smurfing,structuring_below_threshold,74,2025-06-02 00:02:02,CASE000012
ALRT000058,ACC000120,TXN001415,smurfing,structuring_below_threshold,55,2025-02-16 13:13:19,CASE000012
ALRT000059,ACC000120,TXN001416,smurfing,structuring_below_threshold,78,2025-05-07 02:05:07,CASE000012
ALRT000060,ACC000120,TXN001417,smurfing,high_velocity_fan_in,70,2025-11-28 04:02:07,CASE000012
ALRT000061,ACC000101,TXN001523,reverse_smurfing,structuring_fan_out,61,2025-03-28 14:43:55,CASE000013
ALRT000062,ACC000101,TXN001524,reverse_smurfing,rapid_dispersal,73,2025-06-14 19:42:53,CASE000013
ALRT000063,ACC000101,TXN001525,reverse_smurfing,rapid_dispersal,72,2025-09-26 21:53:59,CASE000013
ALRT000064,ACC000101,TXN001526,reverse_smurfing,structuring_fan_out,59,2025-08-05 22:15:09,CASE000013
ALRT000065,ACC000101,TXN001527,reverse_smurfing,rapid_dispersal,63,2025-08-10 15:24:53,CASE000013
ALRT000066,ACC000101,TXN001528,reverse_smurfing,structuring_fan_out,80,2025-10-24 06:07:35,CASE000013
ALRT000067,ACC000002,TXN001454,smurfing,structuring_below_threshold,58,2025-03-11 04:47:55,CASE000014
ALRT000068,ACC000002,TXN001455,smurfing,high_velocity_fan_in,81,2025-02-12 18:43:55,CASE000014
ALRT000069,ACC000002,TXN001456,smurfing,high_velocity_fan_in,85,2025-06-18 03:07:23,CASE000014
ALRT000070,ACC000002,TXN001457,smurfing,structuring_below_threshold,77,2025-07-17 04:58:19,CASE000014
