transaction_id,sender_account_id,receiver_account_id,timestamp,amount,currency,transaction_type,channel,beneficiary_id,device_id,geo_event_id,is_international,balance_after
TXN000001,ACC000001,ACC000115,2025-06-14 13:31:05,35860.52,INR,cash_withdrawal,IMPS,BENE000002,DEV000001,GEO000004,False,187606.28
TXN000002,ACC000001,ACC000162,2025-11-15 04:49:05,4043.12,INR,bill_payment,mobile_app,BENE000002,DEV000002,GEO000004,False,199755.03
TXN000003,ACC000001,ACC000030,2025-03-11 20:49:44,48580.62,INR,cash_deposit,UPI,BENE000002,DEV000002,GEO000002,False,186610.18
TXN000004,ACC000001,ACC000200,2025-05-03 02:54:48,7513.76,INR,cash_withdrawal,mobile_app,BENE000002,DEV000002,GEO000002,False,449473.24
TXN000005,ACC000001,ACC000144,2025-01-26 17:21:22,23258.33,INR,merchant_payment,ATM,,DEV000001,GEO000001,False,358416.55
TXN000006,ACC000001,ACC000207,2025-11-30 22:58:00,40346.43,INR,merchant_payment,NEFT,,DEV000002,GEO000003,False,99877.06
TXN000007,ACC000001,ACC000013,2025-11-08 17:56:27,29737.27,INR,transfer,branch,BENE000001,DEV000002,GEO000001,False,301113.91
TXN000008,ACC000001,ACC000152,2025-05-29 16:29:26,14338.03,INR,transfer,branch,,DEV000001,GEO000001,False,142898.54
TXN000009,ACC000001,ACC000216,2025-06-06 10:28:07,2413.09,INR,merchant_payment,mobile_app,BENE000001,DEV000002,GEO000001,False,415095.26
TXN000010,ACC000002,ACC000186,2025-04-27 21:30:26,8997.56,INR,cash_withdrawal,NEFT,BENE000003,DEV000003,GEO000007,False,197270.42
TXN000011,ACC000002,ACC000179,2025-06-26 13:00:32,16001.14,INR,upi_p2p,net_banking,BENE000003,DEV000004,GEO000005,False,412902.81
TXN000012,ACC000002,ACC000036,2025-02-10 19:56:08,32022.24,INR,upi_p2p,NEFT,BENE000005,DEV000003,GEO000006,False,408257.66
TXN000013,ACC000002,ACC000138,2025-01-02 22:03:24,30118.74,INR,transfer,branch,BENE000005,DEV000003,GEO000005,False,38446.05
TXN000014,ACC000002,ACC000085,2025-09-25 03:53:38,19825.87,INR,cash_deposit,branch,,DEV000003,GEO000006,False,60830.81
TXN000015,ACC000002,ACC000082,2025-12-01 17:26:33,4940.36,INR,merchant_payment,NEFT,,DEV000004,GEO000005,False,121021.2
TXN000016,ACC000002,ACC000123,2025-09-14 19:28:24,15897.6,INR,cash_withdrawal,IMPS,BENE000005,DEV000004,GEO000006,False,355979.31
TXN000017,ACC000002,ACC000091,2025-08-05 21:44:21,26961.69,INR,bill_payment,ATM,,DEV000003,GEO000005,False,31073.2
TXN000018,ACC000002,ACC000004,2025-09-18 09:30:11,7122.63,INR,cash_deposit,ATM,BENE000005,DEV000004,GEO000005,False,380483.49
TXN000019,ACC000003,ACC000182,2025-06-26 07:47:29,39386.3,INR,merchant_payment,net_banking,,DEV000005,GEO000010,False,193402.3
TXN000020,ACC000003,ACC000116,2025-12-04 01:01:48,37304.59,INR,bill_payment,NEFT,BENE000008,DEV000005,GEO000009,False,343446.73
TXN000021,ACC000003,ACC000148,2025-09-09 19:22:02,6303.45,INR,cash_deposit,net_banking,BENE000010,DEV000005,GEO000010,False,94327.85
TXN000022,ACC000003,ACC000008,2025-07-04 22:52:56,39780.75,INR,cash_deposit,IMPS,,DEV000005,GEO000009,False,42949.32
TXN000023,ACC000003,ACC000111,2025-03-24 08:35:55,9207.08,INR,merchant_payment,NEFT,BENE000009,DEV000005,GEO000009,False,49808.54
TXN000024,ACC000003,ACC000167,2025-05-29 13:22:06,43973.7,INR,cash_deposit,ATM,BENE000009,DEV000005,GEO000010,False,265251.81
TXN000025,ACC000003,ACC000127,2025-07-21 09:52:27,26127.21,INR,upi_p2p,mobile_app,BENE000007,DEV000005,GEO000009,False,447634.17
TXN000026,ACC000004,ACC000062,2025-01-26 13:44:31,28595.34,INR,cash_withdrawal,ATM,BENE000012,DEV000007,GEO000014,False,367228.26
TXN000027,ACC000004,ACC000178,2025-04-15 04:25:45,26623.1,INR,bill_payment,ATM,BENE000013,DEV000007,GEO000015,False,367207.25
TXN000028,ACC000004,ACC000025,2025-03-13 21:03:34,27053.64,INR,upi_p2p,RTGS,BENE000013,DEV000007,GEO000015,False,341039.8
TXN000029,ACC000004,ACC000043,2025-03-14 18:10:35,17924.3,INR,cash_deposit,UPI,BENE000013,DEV000006,GEO000015,False,11392.6
TXN000030,ACC000004,ACC000068,2025-12-09 05:54:55,4307.61,INR,upi_p2p,mobile_app,,DEV000007,GEO000014,False,244665.36
