case_id,account_id,created_at,primary_trigger,alert_ids,evidence_signals,typologies,status,bundle_reason,correlation_window_hours
CASE-B5EF89EE,ACC000001,2025-02-24T09:26:10,money_mule,ALERT-MONE-D5BF68E3,inbound_transaction_count|unique_counterparties,money_mule,open,single_alert_case,24
CASE-AF2ABDD5,ACC000002,2025-08-17T00:39:36,smurfing,ALERT-SMUR-B9D0B567|ALERT-MONE-A8A0A9AB,aggregate_inbound_amount|inbound_transaction_count|multiple_inbound_counterparties|profile_deviation|transaction_profile_deviation|unique_counterparties,money_mule|smurfing,open,same_primary_account|shared_transaction_chain|within_case_window,24
CASE-B632406C,ACC000006,2025-08-11T06:12:45,account_swap,ALERT-ACCO-3158D667,compound_account_takeover_signal|device_fingerprint_change|distance_from_last_location_km|first_time_beneficiary|new_device|registered_country_mismatch|sim_change_detected|time_difference_hours,account_swap,open,single_alert_case,24
CASE-D7233AB7,ACC000008,2025-07-22T18:55:22,money_mule,ALERT-MONE-0776989E|ALERT-SMUR-01A24100,inbound_transaction_count|low_retention_of_received_funds|median_inbound_to_outbound_minutes|multiple_inbound_counterparties|network_depth|new_beneficiary_after_inbound|outgoing_incoming_ratio|rapid_onward_transfer|unique_counterparties,money_mule|smurfing,open,same_primary_account|shared_transaction_chain|within_case_window,24
CASE-F02890CC,ACC000010,2025-10-14T07:24:07,reverse_smurfing,ALERT-REVE-CD79B9BC,distribution_window_hours|network_depth|outbound_amount_fragmentation|transaction_profile_deviation|unique_outbound_receivers,reverse_smurfing,open,single_alert_case,24
CASE-3C608D24,ACC000020,2025-05-15T00:18:25,smurfing,ALERT-SMUR-82529DDF|ALERT-MONE-1D82B69F,aggregate_inbound_amount|inbound_transaction_count|multiple_inbound_counterparties|unique_counterparties,money_mule|smurfing,open,same_primary_account|shared_transaction_chain|within_case_window,24
CASE-F8B5C818,ACC000053,2025-05-18T13:11:49,smurfing,ALERT-SMUR-344DCB87|ALERT-MONE-9DC731F9,aggregate_inbound_amount|inbound_transaction_count|multiple_inbound_counterparties|profile_deviation|transaction_profile_deviation|unique_counterparties,money_mule|smurfing,open,same_primary_account|shared_transaction_chain|within_case_window,24
CASE-66333D51,ACC000061,2025-10-26T08:15:42,reverse_smurfing,ALERT-REVE-D16168F5,distribution_window_hours|network_depth|outbound_amount_fragmentation|unique_outbound_receivers,reverse_smurfing,open,single_alert_case,24
CASE-37897EBB,ACC000080,2025-03-13T08:35:44,money_mule,ALERT-MONE-1D251CA1|ALERT-SMUR-24B89E3B,inbound_transaction_count|low_retention_of_received_funds|median_inbound_to_outbound_minutes|multiple_inbound_counterparties|network_depth|new_beneficiary_after_inbound|outgoing_incoming_ratio|profile_deviation|rapid_onward_transfer|transaction_profile_deviation|unique_counterparties,money_mule|smurfing,open,same_primary_account|shared_transaction_chain|within_case_window,24
CASE-3DFAC4DF,ACC000095,2025-08-10T10:24:58,account_swap,ALERT-ACCO-36B85313,compound_account_takeover_signal|device_fingerprint_change|distance_from_last_location_km|first_time_beneficiary|new_device|registered_country_mismatch|sim_change_detected|time_difference_hours|transaction_amount,account_swap,open,single_alert_case,24
CASE-EBBA9F53,ACC000101,2025-03-03T09:09:48,reverse_smurfing,ALERT-REVE-E0731635,distribution_window_hours|network_depth|outbound_amount_fragmentation|transaction_profile_deviation|unique_outbound_receivers,reverse_smurfing,open,single_alert_case,24
CASE-58C63B14,ACC000103,2025-05-25T10:06:04,account_swap,ALERT-ACCO-B429B9E9,compound_account_takeover_signal|device_fingerprint_change|distance_from_last_location_km|first_time_beneficiary|new_device|registered_country_mismatch|sim_change_detected|time_difference_hours,account_swap,open,single_alert_case,24
CASE-57D2D1C3,ACC000109,2025-06-13T20:13:28,smurfing,ALERT-SMUR-1F33B252|ALERT-MONE-2F3897CC,aggregate_inbound_amount|inbound_transaction_count|multiple_inbound_counterparties|profile_deviation|transaction_profile_deviation|unique_counterparties,money_mule|smurfing,open,same_primary_account|shared_transaction_chain|within_case_window,24
CASE-94FB2213,ACC000115,2025-04-30T20:13:39,smurfing,ALERT-SMUR-F327B505|ALERT-MONE-686FE942,aggregate_inbound_amount|inbound_transaction_count|multiple_inbound_counterparties|unique_counterparties,money_mule|smurfing,open,same_primary_account|shared_transaction_chain|within_case_window,24
CASE-B5748E63,ACC000115,2025-05-02T10:06:10,account_swap,ALERT-ACCO-9784E96F,compound_account_takeover_signal|device_fingerprint_change|distance_from_last_location_km|first_time_beneficiary|new_device|registered_country_mismatch|sim_change_detected|time_difference_hours,account_swap,open,single_alert_case,24
CASE-92BA8A4A,ACC000120,2025-03-26T22:29:18,smurfing,ALERT-SMUR-BFC3F9B7|ALERT-MONE-764D0C34,aggregate_inbound_amount|inbound_transaction_count|multiple_inbound_counterparties|unique_counterparties,money_mule|smurfing,open,same_primary_account|shared_transaction_chain|within_case_window,24
CASE-A9A1FDF0,ACC000141,2025-08-13T17:07:08,reverse_smurfing,ALERT-REVE-198C5642,distribution_window_hours|network_depth|outbound_amount_fragmentation|transaction_profile_deviation|unique_outbound_receivers,reverse_smurfing,open,single_alert_case,24
CASE-501E1C5C,ACC000152,2025-03-17T05:33:20,money_mule,ALERT-MONE-D3D8C9BA|ALERT-SMUR-034D73CD,aggregate_inbound_amount|inbound_transaction_count|low_retention_of_received_funds|median_inbound_to_outbound_minutes|multiple_inbound_counterparties|network_depth|new_beneficiary_after_inbound|outgoing_incoming_ratio|profile_deviation|rapid_onward_transfer|transaction_profile_deviation|unique_counterparties,money_mule|smurfing,open,same_primary_account|shared_transaction_chain|within_case_window,24
CASE-4F6238C4,ACC000176,2025-05-11T12:44:06,account_swap,ALERT-ACCO-3732D03A,compound_account_takeover_signal|device_fingerprint_change|distance_from_last_location_km|new_device|registered_country_mismatch|sim_change_detected|time_difference_hours|transaction_amount,account_swap,open,single_alert_case,24
CASE-64FE780E,ACC000183,2025-09-20T21:30:26,money_mule,ALERT-MONE-94487669|ALERT-SMUR-3979CF57,inbound_transaction_count|low_retention_of_received_funds|median_inbound_to_outbound_minutes|multiple_inbound_counterparties|network_depth|outgoing_incoming_ratio|profile_deviation|rapid_onward_transfer|transaction_profile_deviation|unique_counterparties,money_mule|smurfing,open,same_primary_account|shared_transaction_chain|within_case_window,24
CASE-94FBE505,ACC000205,2025-09-16T17:12:13,reverse_smurfing,ALERT-REVE-D5C57C51,distribution_window_hours|network_depth|outbound_amount_fragmentation|transaction_profile_deviation|unique_outbound_receivers,reverse_smurfing,open,single_alert_case,24
